Name ,Beds,Bath,sq feet,Image Url
Marco,3,2,858,https://www.championhomes.com/models/marco
Prime Barkley,2,2,849,https://www.championhomes.com/models/prime-barkley
HC3362A,2,2,840,https://www.championhomes.com/models/hc3362a
Home Run 1656280,2,2,831,https://www.championhomes.com/models/home-run-1656280
RH2542B,2,2,819,https://www.championhomes.com/models/rh2542b
Champion Community 2436456,2,2,810,https://www.championhomes.com/models/champion-community-2436456
Crest 261,2,2,800,https://www.championhomes.com/models/crest-261
Silver Springs 4301N,2,2,800,https://www.championhomes.com/models/silver-springs-4301n
Prime Crest 043,2,2,800,https://www.championhomes.com/models/prime-crest-043
Palm Bay 2714B,2,1,786,https://www.championhomes.com/models/palm-bay-2714B
Lewis,2,2,780,https://www.championhomes.com/models/lewis
Prime Peak 043,2,2,746,https://www.championhomes.com/models/prime-peak-043
Legend 1456503,2,2,728,https://www.championhomes.com/models/legend-1456503
RH1522A,2,1,694,https://www.championhomes.com/models/rh1522a
Palm Bay 2665B,1,1,639,https://www.championhomes.com/models/palm-bay-2665b
Grand Slam 1640409,1,1,593,https://www.championhomes.com/models/grand-slam-1640409
Prime Pike 043 ,1,1,546,https://www.championhomes.com/models/prime-pike-043
RH1381A,1,1,499,https://www.championhomes.com/models/rh1381a
Palm Bay 2641C,1,1,499,https://www.championhomes.com/models/palm-bay-2641C
Palm Bay 2622C,1,1,497,https://www.championhomes.com/models/palm-bay-2622c
Palm Bay 2625,1,1,496,https://www.championhomes.com/models/palm-bay-2625
Calloway 239,1,1,493,https://www.championhomes.com/models/calloway-239
Palm Bay 2641B,1,1,492,https://www.championhomes.com/models/palm-bay-2641B
Palm bay 2632,1,1,492,https://www.championhomes.com/models/palm-bay-2632
Palm Bay 2631,1,1,492,https://www.championhomes.com/models/palm-bay-2631
Lake Maonr 1437H11200,1,1,492,https://www.championhomes.com/models/lake-manor-1437h11200
Palm Bay 2670B,1,1,491,https://www.championhomes.com/models/palm-bay-2670B
Palm Bay 2660B,1,1,486,https://www.championhomes.com/models/palm-bay-2660b
Palm Bay 2660C,1,1,486,https://www.championhomes.com/models/palm-bay-2660c
Palm Bay 2622B,1,1,481,https://www.championhomes.com/models/palm-bay-2622B
Palm Bay 2621B,1,1,481,https://www.championhomes.com/models/palm-bay-2621b
Palm Bay 2621C,1,1,481,https://www.championhomes.com/models/palm-bay-2621c
Legend 1435454,1,1,455,https://www.championhomes.com/models/legend-1435454
